timestamp,track_id,status,EAR,MAR
1758691203.0436625,1,Binh thuong,0.2576,0.0156
1758691203.5553007,1,Binh thuong,0.2486,0.0122
1758691204.0716186,1,Binh thuong,0.2478,0.0153
1758691204.5820403,1,Binh thuong,0.2578,0.0248
1758691205.0961494,1,Binh thuong,0.2839,0.0155
1758691205.6001842,1,Binh thuong,0.3130,0.0130
1758691206.1141238,1,Binh thuong,0.2285,0.0096
1758691206.7227263,2,Binh thuong,0.2480,0.1825
1758691207.2228255,2,Binh thuong,0.3132,0.1274
1758691207.6604981,1,Binh thuong,0.2455,0.0090
1758691207.723344,2,Binh thuong,0.1537,0.2995
1758691208.8050833,2,Binh thuong,0.1453,0.2176
1758691209.3084242,2,Binh thuong,0.2936,0.0228
1758691209.3084242,1,Binh thuong,0.3441,0.0116
1758691209.811389,1,Binh thuong,0.2880,0.0061
1758691210.3141835,2,Binh thuong,0.2948,0.0205
1758691210.8260577,2,Binh thuong,0.3370,0.0131
1758691211.330093,2,Binh thuong,0.2939,0.0129
1758691211.533421,1,Binh thuong,0.2449,0.0607
1758691211.8428686,2,Binh thuong,0.3368,0.0092
1758691212.2344208,3,Binh thuong,0.3238,0.0194
1758691212.7451377,3,Binh thuong,0.2826,0.0035
1758691212.902602,1,Binh thuong,0.1301,0.2465
1758691213.1980329,2,Binh thuong,0.3263,0.0100
1758691213.7064557,2,Binh thuong,0.3214,0.0040
1758691213.800846,3,Binh thuong,0.1341,0.1994
1758691213.8312418,1,Binh thuong,0.1363,0.1372
1758691214.3059223,3,Binh thuong,0.3169,0.0044
1758691214.8207424,3,Binh thuong,0.2777,0.0334
1758691214.8207424,1,Binh thuong,0.3496,0.1731
1758691215.3353467,1,Binh thuong,0.2341,0.0066
1758691215.6618338,3,Binh thuong,0.1394,0.0419
1758691215.9096053,2,Binh thuong,0.3122,0.0533
1758691216.2610517,1,Binh thuong,0.2435,0.0076
1758691216.41433,2,Binh thuong,0.0779,0.1143
1758691216.7668533,1,Binh thuong,0.2831,0.0082
1758691217.2703948,1,Binh thuong,0.3075,0.0074
1758691217.6141999,2,Binh thuong,0.1224,0.0455
1758691217.7816443,1,Binh thuong,0.3025,0.2120
1758691218.1165032,2,Binh thuong,0.2704,0.0088
1758691218.6276193,2,Binh thuong,0.3156,0.0052
1758691219.1323254,2,Binh thuong,0.3116,0.0170
1758691219.6329093,2,Binh thuong,0.2767,0.0371
1758691220.1438873,2,Binh thuong,0.3068,0.0206
1758691220.6466775,2,Binh thuong,0.2928,0.0147
1758691221.1560297,2,Binh thuong,0.3099,0.0316
1758691221.6594598,2,Binh thuong,0.3475,0.0168
1758691222.1732717,2,Binh thuong,0.3511,0.0158
1758691222.685672,2,Binh thuong,0.2962,0.0114
1758691223.1975245,2,Binh thuong,0.3163,0.0057
1758691223.7118442,2,Binh thuong,0.2918,0.0049
